,id,title,all
0,19995,Avatar,james cameron sam worthington action culture clash
1,285,Pirates of the Caribbean: At World's End,gore verbinski johnny depp adventure ocean
2,206647,Spectre,sam mendes daniel craig action spy
3,49026,The Dark Knight Rises,christopher nolan christian bale action dc comics
4,49529,John Carter,andrew stanton taylor kitsch action based on novel
5,559,Spider-Man 3,sam raimi tobey maguire fantasy dual identity
6,38757,Tangled,byron howard zachary levi animation hostage
7,99861,Avengers: Age of Ultron,joss whedon robert downey jr. action marvel comic
8,767,Harry Potter and the Half-Blood Prince,david yates daniel radcliffe adventure witch
9,209112,Batman v Superman: Dawn of Justice,zack snyder ben affleck action dc comics
10,1452,Superman Returns,bryan singer brandon routh adventure saving the world
11,10764,Quantum of Solace,marc forster daniel craig adventure killing
12,58,Pirates of the Caribbean: Dead Man's Chest,gore verbinski johnny depp adventure witch
13,57201,The Lone Ranger,gore verbinski johnny depp action texas
14,49521,Man of Steel,zack snyder henry cavill action saving the world
15,2454,The Chronicles of Narnia: Prince Caspian,andrew adamson ben barnes adventure based on novel
16,24428,The Avengers,joss whedon robert downey jr. science fiction new york
17,1865,Pirates of the Caribbean: On Stranger Tides,rob marshall johnny depp adventure sea
18,41154,Men in Black 3,barry sonnenfeld will smith action time travel
19,122917,The Hobbit: The Battle of the Five Armies,peter jackson martin freeman action corruption
20,1930,The Amazing Spider-Man,marc webb andrew garfield action loss of father
21,20662,Robin Hood,ridley scott russell crowe action robin hood
22,57158,The Hobbit: The Desolation of Smaug,peter jackson martin freeman adventure elves
23,2268,The Golden Compass,chris weitz dakota blue richards adventure england
24,254,King Kong,peter jackson naomi watts adventure film business
25,597,Titanic,james cameron kate winslet drama shipwreck
26,271110,Captain America: Civil War,anthony russo chris evans adventure civil war
27,44833,Battleship,peter berg taylor kitsch thriller fight
28,135397,Jurassic World,colin trevorrow chris pratt action monster
29,37724,Skyfall,sam mendes daniel craig action spy
30,558,Spider-Man 2,sam raimi tobey maguire action dual identity
31,68721,Iron Man 3,shane black robert downey jr. action terrorist
32,12155,Alice in Wonderland,tim burton mia wasikowska family based on novel
33,36668,X-Men: The Last Stand,brett ratner hugh jackman adventure mutant
34,62211,Monsters University,dan scanlon billy crystal animation monster
35,8373,Transformers: Revenge of the Fallen,michael bay shia labeouf science fiction egypt
36,91314,Transformers: Age of Extinction,michael bay mark wahlberg science fiction sequel
37,68728,Oz: The Great and Powerful,sam raimi james franco fantasy circus
38,102382,The Amazing Spider-Man 2,marc webb andrew garfield action obsession
39,20526,TRON: Legacy,joseph kosinski garrett hedlund adventure artificial intelligence
40,49013,Cars 2,john lasseter owen wilson animation car race
41,44912,Green Lantern,martin campbell ryan reynolds adventure dc comics
42,10193,Toy Story 3,lee unkrich tom hanks animation hostage
43,534,Terminator Salvation,mcg christian bale action saving the world
44,168259,Furious 7,james wan vin diesel action car race
45,72190,World War Z,marc forster brad pitt action dystopia
46,127585,X-Men: Days of Future Past,bryan singer hugh jackman action 1970s
47,54138,Star Trek Into Darkness,j.j. abrams chris pine action spacecraft
48,81005,Jack the Giant Slayer,bryan singer nicholas hoult action based on fairy tale
49,64682,The Great Gatsby,baz luhrmann leonardo dicaprio drama based on novel
50,9543,Prince of Persia: The Sands of Time,mike newell jake gyllenhaal adventure persia
51,68726,Pacific Rim,guillermo del toro idris elba action dystopia
52,38356,Transformers: Dark of the Moon,michael bay shia labeouf action moon
53,217,Indiana Jones and the Kingdom of the Crystal Skull,steven spielberg harrison ford adventure saving the world
54,105864,The Good Dinosaur,peter sohn raymond ochoa adventure tyrannosaurus rex
55,62177,Brave,brenda chapman kelly macdonald animation scotland
56,188927,Star Trek Beyond,justin lin chris pine action sequel
57,10681,WALL·E,andrew stanton ben burtt animation romantic comedy
58,5174,Rush Hour 3,brett ratner chris tucker action ambassador
59,14161,2012,roland emmerich john cusack action civilization
60,17979,A Christmas Carol,robert zemeckis gary oldman animation holiday
61,76757,Jupiter Ascending,lilly wachowski mila kunis science fiction jupiter
62,258489,The Legend of Tarzan,david yates alexander skarsgård action africa
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",andrew adamson william moseley adventure saving the world
64,246655,X-Men: Apocalypse,bryan singer james mcavoy science fiction mutant
65,155,The Dark Knight,christopher nolan christian bale drama dc comics
66,14160,Up,pete docter ed asner animation age difference
67,15512,Monsters vs Aliens,conrad vernon seth rogen animation alien
68,1726,Iron Man,jon favreau robert downey jr. action middle east
69,44826,Hugo,martin scorsese ben kingsley adventure library
70,8487,Wild Wild West,barry sonnenfeld will smith action steampunk
72,297761,Suicide Squad,david ayer will smith action dc comics
73,2698,Evan Almighty,tom shadyac steve carell fantasy father son relationship
74,137113,Edge of Tomorrow,doug liman tom cruise action deja vu
75,9804,Waterworld,kevin reynolds kevin costner adventure ocean
76,14869,G.I. Joe: The Rise of Cobra,stephen sommers dennis quaid adventure terrorist
77,150540,Inside Out,pete docter amy poehler drama dream
78,278927,The Jungle Book,jon favreau neel sethi family based on novel
79,10138,Iron Man 2,jon favreau robert downey jr. adventure malibu
80,58595,Snow White and the Huntsman,rupert sanders kristen stewart adventure queen
81,102651,Maleficent,robert stromberg angelina jolie fantasy fairy tale
82,119450,Dawn of the Planet of the Apes,matt reeves andy serkis science fiction leader
84,64686,47 Ronin,carl rinsch keanu reeves drama japan
85,100402,Captain America: The Winter Soldier,anthony russo chris evans action washington d.c.
86,10192,Shrek Forever After,mike mitchell mike myers comedy ogre
87,158852,Tomorrowland,brad bird britt robertson adventure inventor
88,177572,Big Hero 6,chris williams scott adsit adventure brother brother relationship
89,82690,Wreck-It Ralph,rich moore john c. reilly family support group
90,5255,The Polar Express,robert zemeckis tom hanks adventure santa claus
91,47933,Independence Day: Resurgence,roland emmerich liam hemsworth action alternate history
92,10191,How to Train Your Dragon,chris sanders jay baruchel fantasy flying
93,296,Terminator 3: Rise of the Machines,jonathan mostow arnold schwarzenegger action saving the world
94,118340,Guardians of the Galaxy,james gunn chris pratt action marvel comic
95,157336,Interstellar,christopher nolan matthew mcconaughey adventure saving the world
96,27205,Inception,christopher nolan leonardo dicaprio action loss of lover
97,315011,Shin Godzilla,hideaki anno hiroki hasegawa action monster
98,49051,The Hobbit: An Unexpected Journey,peter jackson ian mckellen adventure riddle
99,9799,The Fast and the Furious,rob cohen paul walker action street gang
100,4922,The Curious Case of Benjamin Button,david fincher cate blanchett fantasy diary
101,49538,X-Men: First Class,matthew vaughn james mcavoy action cia
102,131634,The Hunger Games: Mockingjay - Part 2,francis lawrence jennifer lawrence action revolution
103,27022,The Sorcerer's Apprentice,jon turteltaub nicolas cage fantasy witch
104,503,Poseidon,wolfgang petersen kurt russell adventure new year's eve
105,241259,Alice Through the Looking Glass,james bobin johnny depp fantasy based on novel
106,810,Shrek the Third,chris miller mike myers fantasy ambush
107,68735,Warcraft,duncan jones paula patton action video game
108,87101,Terminator Genisys,alan taylor arnold schwarzenegger science fiction saving the world
109,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,michael apted skandar keynes adventure based on novel
110,676,Pearl Harbor,michael bay ben affleck history nurse
111,1858,Transformers,michael bay shia labeouf adventure destroy
112,1966,Alexander,oliver stone colin farrell war aristotle
113,675,Harry Potter and the Order of the Phoenix,david yates daniel radcliffe adventure prophecy
114,674,Harry Potter and the Goblet of Fire,mike newell daniel radcliffe adventure magic
115,8960,Hancock,peter berg will smith fantasy flying
116,6479,I Am Legend,francis lawrence will smith drama saving the world
117,118,Charlie and the Chocolate Factory,tim burton johnny depp adventure london england
118,2062,Ratatouille,jan pinkava patton oswalt animation paris
119,272,Batman Begins,christopher nolan christian bale action himalaya
120,10527,Madagascar: Escape 2 Africa,eric darnell ben stiller family africa
121,18360,Night at the Museum: Battle of the Smithsonian,shawn levy ben stiller adventure museum
122,2080,X-Men Origins: Wolverine,gavin hood hugh jackman adventure corruption
123,605,The Matrix Revolutions,lilly wachowski keanu reeves adventure saving the world
124,109445,Frozen,chris buck kristen bell animation queen
125,604,The Matrix Reloaded,lilly wachowski keanu reeves adventure saving the world
126,76338,Thor: The Dark World,alan taylor chris hemsworth action marvel comic
127,76341,Mad Max: Fury Road,george miller tom hardy action future
128,13448,Angels & Demons,ron howard tom hanks thriller rome
129,10195,Thor,kenneth branagh chris hemsworth adventure new mexico
130,13053,Bolt,chris williams john travolta animation hamster
131,19585,G-Force,hoyt yeatman sam rockwell fantasy dyr
132,57165,Wrath of the Titans,jonathan liebesman sam worthington adventure underworld
133,62213,Dark Shadows,tim burton johnny depp comedy witch
134,177677,Mission: Impossible - Rogue Nation,christopher mcquarrie tom cruise action london england
135,7978,The Wolfman,joe johnston benicio del toro drama father son relationship
136,5559,Bee Movie,steve hickner jerry seinfeld family factory worker
137,49444,Kung Fu Panda 2,jennifer yuh nelson jack black animation martial arts
138,10196,The Last Airbender,m. night shyamalan noah ringer action fire
139,956,Mission: Impossible III,j.j. abrams tom cruise adventure berlin
140,117251,White House Down,roland emmerich channing tatum action usa president
141,50321,Mars Needs Moms,simon wells seth green adventure boy
142,11619,Flushed Away,david bowers hugh jackman adventure london england
143,266647,Pan,joe wright levi miller adventure flying
144,82703,Mr. Peabody & Sherman,rob minkoff ty burrell animation father son relationship
145,652,Troy,wolfgang petersen brad pitt adventure brother brother relationship
146,80321,Madagascar 3: Europe's Most Wanted,conrad vernon ben stiller animation madagascar
147,36669,Die Another Day,lee tamahori pierce brosnan adventure laser
148,43074,Ghostbusters,paul feig melissa mccarthy action female friendship
149,95,Armageddon,michael bay bruce willis action saving the world
150,608,Men in Black II,barry sonnenfeld tommy lee jones action saving the world
151,2310,Beowulf,robert zemeckis ray winstone adventure denmark
152,140300,Kung Fu Panda 3,jennifer yuh nelson jack black action china
153,56292,Mission: Impossible - Ghost Protocol,brad bird tom cruise action fight
154,81188,Rise of the Guardians,peter ramsey chris pine fantasy dream
155,7552,Fun with Dick and Jane,dean parisot jim carrey comedy based on novel
156,616,The Last Samurai,edward zwick tom cruise drama japan
157,147441,Exodus: Gods and Kings,ridley scott christian bale adventure moses
158,13475,Star Trek,j.j. abrams chris pine science fiction spacecraft
159,557,Spider-Man,sam raimi tobey maguire fantasy loss of lover
160,82702,How to Train Your Dragon 2,dean deblois jay baruchel fantasy father son relationship
161,205584,Gods of Egypt,alex proyas brenton thwaites fantasy egypt
162,10048,Stealth,rob cohen josh lucas action artificial intelligence
163,13183,Watchmen,zack snyder malin åkerman action dc comics
164,944,Lethal Weapon 4,richard donner mel gibson action lapd
165,1927,Hulk,ang lee eric bana drama california
166,72559,G.I. Joe: Retaliation,jon m. chu dwayne johnson adventure terror
167,7364,Sahara,breck eisner matthew mcconaughey action tyrant
168,2114,Final Fantasy: The Spirits Within,hironobu sakaguchi donald sutherland adventure battle assignment
169,1771,Captain America: The First Avenger,joe johnston chris evans action new york
170,36643,The World Is Not Enough,michael apted pierce brosnan adventure british
171,8619,Master and Commander: The Far Side of the World,peter weir russell crowe adventure naturalist
172,50620,The Twilight Saga: Breaking Dawn - Part 2,bill condon kristen stewart adventure vampire
173,65759,Happy Feet Two,george miller elijah wood animation penguin
